Artist Name,Track Name,Popularity,Danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature,class
Boston,Hitch a Ride,54,0.5,0.814,-8,1,0.0406,0.0011,0.00401,0.101,0.569,116.454,2.51733,4,10
The Raincoats,No Side to Fall In,35,0.5,0.614,-9,1,0.0525,0.486,0.000196,0.394,0.787,147.681,1.09667,4,6
Solomon Burke,None Of Us Are Free,48,0.674,0.658,-10,0,0.104,0.404,1.34e-06,0.0981,0.677,143.292,3.29387,4,2
Randy Travis,On the Other Hand,55,0.657,0.415,-10,1,0.025,0.175,5.65e-06,0.132,0.347,96.03,3.105783333e-05,4,4
Professional Murder Music,Slow,29,0.5,0.776,-6,1,0.0527,2.21e-05,0.0013,0.179,0.318,120.857,2.37867,4,8
Mohammed Rafi,Meri Dosti Mera Pyar,11,0.5,0.563,-9,0,0.0331,0.957,0.0023,0.263,0.843,95.558,4.33045e-05,4,3
Elmore James,Madison Blues,37,0.5,0.852,-7,1,0.0431,0.564,0.208,0.254,0.794,67.601,1.468,4,2
Velvet Two Stripes,Drinks,31,0.564,0.801,-5,0,0.0473,0.00233,0.0078,0.067,0.401,105.01,1.54293,4,10
Krankhead,Cut Throat,29,0.805,0.448,-10,1,0.112,0.0602,1.79e-06,0.113,0.775,160.018,1.38,4,5
The Stone Roses,Driving South,44,0.5,0.947,-7,1,0.0774,9.43e-06,0.0155,0.364,0.75,98.784,3.09867,4,10
duendita,Open Eyes,35,0.5,0.47,-11,1,0.037,0.226,0.105,0.518,0.203,144.109,2.0428,4,1
Rainbow,Since You Been Gone,66,0.733,0.726,-7,1,0.0371,0.379,2.58e-06,0.471,0.915,120.814,1.9716,4,8
fijitrip,Private Social Network,30,0.696,0.661,-6,1,0.0877,0.00103,3.21e-05,0.114,0.397,121.032,1.80822,4,6
Tetrarch,Negative Noise,49,0.5,0.974,-4,0,0.141,0.000153,0.000247,0.226,0.155,194.842,2.4737,4,8
Moon Guitar,Struna,47,0.5,0.242,-16,1,0.0422,0.941,0.93,0.165,0.431,81.09,2.817633333e-05,4,7
Better Than Ezra,Good,63,0.615,0.657,-7,1,0.029,0.000372,0.0204,0.132,0.792,109.95,1.85093,4,10
Silversun Pickups,Lazy Eye,65,0.633,0.831,-6,1,0.0461,0.0401,0.693,0.117,0.243,127.397,3.5436,4,10
Orange Juice,Rip It Up,55,0.881,0.546,-10,1,0.0407,0.0532,0.000149,0.0497,0.852,102.814,3.20413,4,6
U2,The Blackout,49,0.624,0.528,-10,0,0.0344,0.0286,0.00516,0.0866,0.33,120.049,2.85933,4,10
Victor Manu,Raphaela,47,0.5,0.0634,-20,1,0.044,0.984,0.926,0.11,0.15,78.227,3.014916667e-05,4,7
The Last Shadow Puppets,Bad Habits,49,0.52,0.642,-8,1,0.0434,0.000517,0.0017,0.0794,0.449,88.967,1.80968,4,10
Veruca Salt,Seether,47,0.612,0.86,-10,1,0.044,0.00253,0.00153,0.158,0.687,136.212,1.96467,4,1
BENEE,C U,53,0.521,0.532,-12,0,0.0357,0.563,0.000435,0.386,0.326,95.19,1.80533,4,9
Soen,Lotus,49,0.5,0.403,-10,0,0.0273,0.0792,0.0049,0.113,0.135,155.761,3.23931,4,10
Vani Jairam,Bole Re Papihara,20,0.5,0.707,-10,0,0.0562,0.668,3.68e-05,0.361,0.75,89.1,3.578883333e-05,4,3
BLAB,Casual Sex,26,0.709,0.685,-8,1,0.0281,0.0355,0.0268,0.0389,0.7,129.987,1.94567,4,1
Mighty Sam McClain,When the Hurt Is Over,41,0.583,0.143,-16,1,0.148,0.676,2.84e-05,0.117,0.533,156.009,3.71496,3,2
El Goodo,Feel so Fine,30,0.5,0.88,-4,1,0.097,2.01e-05,0.309,0.122,0.333,134.445,2.37493,4,10
Why Bonnie,Athlete,24,0.539,0.578,-9,1,0.0278,0.0987,0.000923,0.28,0.353,102.03,1.9189,4,10
Turbo Knight,Rasengan,43,0.5,0.944,-8,1,0.0398,0.0035,0.972,0.105,0.588,110.002,3.07545,4,6
Radiohead,Burn the Witch,57,0.54,0.847,-7,1,0.0297,0.303,0.272,0.109,0.62,148.936,2.20609,4,10
Oceans,Shark Tooth,42,0.5,0.889,-7,0,0.0474,2.38e-05,0.000872,0.87,0.344,93.896,1.98345,4,8
The Stranglers,Golden Brown,71,0.562,0.383,-16,1,0.0304,0.143,0.124,0.138,0.599,93.764,2.0676,3,10
Joe Bonamassa,Cradle Rock,44,0.5,0.91,-5,1,0.0392,0.000243,0.00082,0.0931,0.613,106.675,2.30027,4,10
Keller Williams,Right Here,43,0.633,0.194,-15,1,0.0729,0.885,0.404,0.111,0.421,143.376,3.48383,4,2
Lil Son Jackson,Upstairs Boogie,35,0.593,0.438,-14,0,0.028,0.883,0.0167,0.317,0.758,130.225,1.3656,3,2
Drake,Passionfruit,81,0.809,0.463,-12,1,0.0396,0.256,0.085,0.109,0.364,111.98,4.98235e-05,4,9
Abstract Orchestra,New Day,45,0.748,0.411,-7,0,0.0489,0.0532,0.0117,0.115,0.339,91.941,1.45052,4,5
Elena Falwell,Elegi For Cello,41,0.5,0.148,-20,1,0.0347,0.955,0.897,0.111,0.04,76.412,2.7204e-05,3,7
Sharon Van Etten,Comeback Kid,51,0.543,0.927,-6,1,0.0755,0.000342,0.543,0.0327,0.354,120.097,1.82333,4,10
Howie Lee,Birdy Island,24,0.5,0.504,-14,0,0.0566,0.625,0.794,0.222,0.145,159.911,2.58771,4,6
Pit Pony,Dutch Courage,25,0.5,0.916,-4,1,0.0723,1.39e-05,0.0992,0.219,0.423,151.886,2.70205,4,1
Gossip,Standing In the Way of Control,55,0.697,0.919,-7,1,0.029,0.00694,0.0621,0.203,0.943,118.341,2.564,4,6
Gone Is Gone,Breaks,28,0.5,0.932,-7,1,0.113,0.00363,0.346,0.229,0.173,102.954,2.35214,4,8
Violent Soho,Covered in Chrome,55,0.564,0.753,-6,1,0.0433,0.00512,2.43e-06,0.167,0.414,152.064,2.12547,4,10
Carusella,Star Quality,11,0.5,0.967,-5,1,0.114,0.00159,0.0064,0.142,0.179,146.623,2.6944,4,6
