Danceability,Artist Name,Track Name,Popularity,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,Liveness,valence,tempo,duration_in min/ms,time_signature,Genre
0.854,Bruno Mars,That's What I Like (feat. Gucci Mane),600000,0.56399999999999995,1,27/12/1899,major,-0.0485,-0.171,,58.49,-0.0899,134.071,234596,4,Hip Hop Music
-5,Boston,Hitch a Ride,540000,0.81399999999999995,3,24/12/1899,major,-0.0406,-0.011,0.00401,60.1,-0.0569,116.454,251733,4,Rock Music
-5,The Raincoats,No Side to Fall In,350000,0.61399999999999999,6,23/12/1899,major,-0.0525,-4.86,0.000196,89.4,-0.0787,147.681,109667,4,Indie Music
0.853,Deno,Lingo (feat. J.I & Chunkz),660000,0.59699999999999998,10,25/12/1899,minor,-0.0555,-0.212,,62.2,-0.0569,107.033,173968,4,Hip Hop Music
-5,Red Hot Chili Peppers,Nobody Weird Like Me - Remastered,530000,0.97499999999999998,2,27/12/1899,major,-0.216,-0.00169,0.0161,67.2,-0.00918,199.06,229960,4,Rock Music
-5,The Stooges,Search and Destroy - Iggy Pop Mix,530000,0.97699999999999998,6,01/01/1900,major,-0.107,-0.0353,0.00604,67.2,-0.0241,152.952,208133,4,Indie Music
0.674,Solomon Burke,None Of Us Are Free,480000,0.65800000000000003,-6,22/12/1899,minor,-0.104,-4.04,1.34e-06,59.81,-0.0677,143.292,329387,4,Blues
0.657,Randy Travis,On the Other Hand,550000,0.41499999999999998,-6,22/12/1899,major,-0.025,-1.75,5.65e-06,63.2,-0.0347,96.03,3.105783333,4,Country Music
-5,Professional Murder Music,Slow,290000,0.77600000000000002,10,26/12/1899,major,-0.0527,-0.000221,0.0013,67.9,-0.0318,120.857,237867,4,Metal Music
0.716,Dudu Aharon,"דודו, יאללה יאללה",140000,0.88500000000000001,1,27/12/1899,minor,-0.0333,-0.614,,75.3,-0.0833,128.043,164093,4,Pop Music
-5,Mohammed Rafi,Meri Dosti Mera Pyar,110000,0.56299999999999994,7,23/12/1899,minor,-0.0331,-9.57,0.0023,76.3,-0.0843,95.558,4.33045,4,Bollywood Music
-5,Arctic Monkeys,The View From The Afternoon,590000,0.92200000000000004,9,26/12/1899,minor,-0.0674,-0.0487,,68.7,-0.0417,146.478,222947,4,Rock Music
0.585,Eyal Golan,קרובה אליי,340000,0.38100000000000001,1,24/12/1899,minor,-0.0463,-4.35,,62.6,-0.0322,143.876,206875,4,Pop Music
-5,"Harald Lassen, Bram de Looze",How it feels pt. 2,340000,0.374,11,19/12/1899,minor,-0.0331,-9.49,0.929,63.1,-0.0174,122.939,4.44025,3,Instrumental Music
0.653,Buffalo Springfield,For What It's Worth,760000,0.51900000000000002,2,21/12/1899,major,-0.0497,-4.06,0.0209,60.1,-0.0822,98.883,153693,4,Rock Music
-5,Elmore James,Madison Blues,370000,0.85199999999999998,2,25/12/1899,major,-0.0431,-5.64,0.208,75.4,-0.0794,67.601,146800,4,Blues
0.713,Dudu Aharon,לא יכול בלעדייך,140000,0.93899999999999995,-6,28/12/1899,minor,-0.0372,-1.1,5.88e-06,83.1,-0.088,108.034,179320,4,Pop Music
0.564,Velvet Two Stripes,Drinks,310000,0.80100000000000005,1,27/12/1899,minor,-0.0473,-0.0233,0.0078,56.7,-0.0401,105.01,154293,4,Rock Music
0.57,Eden Ben Zaken,מנגינה,290000,0.45800000000000002,9,26/12/1899,minor,-0.0236,-5.02,2.35e-06,63.4,-0.019,93.088,217529,4,Pop Music
0.852,DaBaby,Baby Sitter (feat. Offset),700000,0.72999999999999998,1,26/12/1899,major,-0.0579,-0.219,,83.6,-0.0394,92.506,157693,4,Hip Hop Music
-5,Mura Masa,Teenage Headache Dreams (with Ellie Rowsell),480000,0.41099999999999998,6,23/12/1899,major,-0.0414,-0.181,0.636,59.75,-0.0395,171.991,283013,4,Indie Music
0.796,Clairmont The Second,intres-ting,440000,0.441,7,22/12/1899,major,-0.292,-1.6,2.89e-05,61.8,-0.0371,158.105,137872,4,Alt Music
0.805,Krankhead,Cut Throat,290000,0.44800000000000001,7,22/12/1899,major,-0.112,-0.602,1.79e-06,61.3,-0.0775,160.018,138000,4,Hip Hop Music
-5,The Stone Roses,Driving South,440000,0.94699999999999995,9,25/12/1899,major,-0.0774,-9.43e-05,0.0155,86.4,-0.075,98.784,309867,4,Rock Music
0.556,R3HAB,Whiplash - Acoustic,440000,0.188,8,19/12/1899,major,-0.0316,-4.94,,61.9,-0.0184,138.091,145217,4,Pop Music
0.548,"IndianRaga, Akshay Anantapadmanabhan, Madhu Iyer, Sri Poornima Krishna Emani",Swagatham Krishna - Mohanam - Adi,,0.71099999999999997,10,23/12/1899,major,-0.107,-5.42,9.59e-05,85.5,-0.0618,119.675,4.015633333,3,Acoustic Folk
0.867,MC Hammer,U Can't Touch This,730000,0.51700000000000002,11,18/12/1899,minor,-0.0875,-0.0456,0.000339,58.64,-0.0866,133.148,257360,4,Pop Music
-5,duendita,Open Eyes,350000,0.46999999999999997,-6,21/12/1899,major,-0.037,-2.26,0.105,101.8,-0.0203,144.109,204280,4,Alt Music
0.733,Rainbow,Since You Been Gone,660000,0.72599999999999998,7,25/12/1899,major,-0.0371,-3.79,2.58e-06,97.1,-0.0915,120.814,197160,4,Metal Music
0.696,fijitrip,Private Social Network,300000,0.66100000000000003,6,26/12/1899,major,-0.0877,-0.0103,3.21e-05,61.4,-0.0397,121.032,180822,4,Indie Music
0.517,Machine Gun Kelly,love race (feat. Kellin Quinn),810000,0.84799999999999998,10,27/12/1899,major,-0.0521,-0.0581,,71.4,-0.0429,95.906,188779,4,Pop Music
-5,ShittyCT,Mahapecha Shel Simcha,40000,0.94799999999999995,-6,27/12/1899,minor,-0.092,-0.00234,,58.76,-0.0517,170.023,180293,4,Indie Music
-5,Tetrarch,Negative Noise,490000,0.97399999999999998,1,28/12/1899,minor,-0.141,-0.00153,0.000247,72.6,-0.0155,194.842,247370,4,Metal Music
0.858,Dreezy,Where Them $ @,420000,0.52500000000000002,,24/12/1899,major,-0.148,-0.443,0.00738,69.7,-0.0351,170.875,193962,4,Hip Hop Music
